Date,Indicator,Category,Unit,Value
2005-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.820000
2005-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.360000
2005-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,5.592500
2005-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1732.005789
2005-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1713.800000
2005-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,6.160000
2005-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.360000
2005-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.042000
2005-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1711.066500
2005-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1700.610000
2005-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.210000
2005-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.630000
2005-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.610000
2005-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1711.230000
2005-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1742.460000
2005-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.590000
2005-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.780000
2005-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.500000
2005-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1777.680000
2005-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1776.820000
2005-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.670000
2005-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.420000
2005-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.982500
2005-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1775.623000
2005-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1762.760000
2005-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.170000
2005-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.070000
2005-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.770000
2005-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1738.318750
2005-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1740.250000
2005-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.190000
2005-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.557000
2005-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.200000
2005-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1752.122250
2005-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1774.435000
2005-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.791000
2005-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.611000
2005-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.060000
2005-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1814.859773
2005-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1820.200000
2005-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.028000
2005-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.176000
2005-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.850000
2005-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1847.606818
2005-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1862.680000
2005-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.840000
2005-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.590000
2005-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.750000
